80.0	+1.44	+7.01	+7.37	+5.22	+12.11	+0.00	+12.02	+6.34	+0.00	+5.89	+5.79	5.89	5.89	5.89	5.89 5.89 5.89 5.89 5.89 5.89 5.89 5.89 5.89 5.89 5.89
81.0	+1.45	+7.01	+7.35	+5.23	+12.11	+0.00	+11.99	+6.32	+0.00	+5.86	+5.75	5.86	5.86	5.86	5.86 5.86 5.86 5.86 5.86 5.86 5.86 5.86	5.86 5.86 5.86
82.0	+1.47	+7.00	+7.34	+5.24	+12.11	+0.00	+11.97	+6.31	+0.00	+5.89	+5.78	5.89	5.89	5.89	5.89 5.89 5.89 5.89 5.89 5.89 5.89 5.89	5.89 5.89 5.89
83.0	+1.48	+6.99	+7.33	+5.25	+12.10	+0.00	+11.96	+6.38	+0.00	+5.85	+5.75	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
84.0	+1.50	+7.00	+7.34	+5.23	+12.13	+0.00	+11.95	+6.30	+0.00	+5.89	+5.80	5.89	5.89	5.89	5.89 5.89 5.89 5.89 5.89 5.89 5.89 5.89	5.89 5.89 5.89
85.0	+1.51	+6.99	+7.34	+5.24	+12.14	+0.00	+11.92	+6.34	+0.00	+5.85	+5.76	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
86.0	+1.52	+6.97	+7.33	+5.26	+12.16	+0.00	+11.92	+6.32	+0.00	+5.88	+5.79	5.88	5.88	5.88	5.88 5.88 5.88 5.88 5.88 5.88 5.88 5.88	5.88 5.88 5.88
87.0	+1.54	+6.98	+7.31	+5.27	+12.13	+0.00	+11.88	+6.37	+0.00	+5.85	+5.77	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
88.0	+1.55	+6.99	+7.33	+5.28	+12.15	+0.00	+11.88	+6.27	+0.00	+5.88	+5.80	5.88	5.88	5.88	5.88 5.88 5.88 5.88 5.88 5.88 5.88 5.88	5.88 5.88 5.88
89.0	+1.57	+6.96	+7.33	+5.25	+12.14	+0.00	+11.85	+6.29	+0.00	+5.81	+5.73	5.81	5.81	5.81	5.81 5.81 5.81 5.81 5.81 5.81 5.81 5.81	5.81 5.81 5.81
90.0	+1.58	+6.97	+7.31	+5.24	+12.14	+0.00	+11.83	+6.21	+0.00	+5.85	+5.78	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
91.0	+1.60	+6.97	+7.28	+5.25	+12.16	+0.00	+11.81	+6.25	+0.00	+5.81	+5.74	5.81	5.81	5.81	5.81 5.81 5.81 5.81 5.81 5.81 5.81 5.81	5.81 5.81 5.81
92.0	+1.61	+6.96	+7.29	+5.28	+12.19	+0.00	+11.79	+6.24	+10.29	+5.85	+5.78	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
93.0	+1.64	+6.96	+7.26	+5.28	+12.17	+0.00	+11.77	+6.26	+10.29	+5.85	+5.79	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
94.0	+1.65	+6.97	+7.30	+5.27	+12.19	+0.00	+11.75	+6.29	+10.26	+5.85	+5.79	5.85	5.85	5.85	5.85 5.85 5.85 5.85 5.85 5.85 5.85 5.85	5.85 5.85 5.85
95.0	+1.67	+6.94	+7.26	+5.29	+12.20	+0.00	+11.73	+6.25	+10.25	+5.80	+5.72	5.80	5.80	5.80	5.80 5.80 5.80 5.80 5.80 5.80 5.80 5.80	5.80 5.80 5.80
96.0	+1.69	+6.93	+7.27	+5.28	+12.22	+0.00	+11.70	+6.18	+10.27	+5.80	+5.75	5.80	5.80	5.80	5.80 5.80 5.80 5.80 5.80 5.80 5.80 5.80	5.80 5.80 5.80
